x,y,theta,energy_used_mean,energy_used_max,efficiency_mean,efficiency_max,fitness,attachment_length_max,attachment_length_mean,attachment_length_std,joint_brick_ratio,symmetry_incl_sum,symmetry_excl_sum,coverage,branching,surface
0.0,0.0,0.0,39.75435732194989,57.19893809280739,4.066344341234547e-05,0.002200782844788726,0.33477719645895826,1.0,1.0,0,1.0,1.5142857142857142,1.5142857142857142,0.3125,0.0,0.3893129770992366
-0.0039899454234278596,0.0015871100216750377,158.3084564480423,39.75435732194989,57.19893809280739,4.066344341234547e-05,0.002200782844788726,0.33477719645895826,1.0,1.0,0,1.0,1.5142857142857142,1.5142857142857142,0.3125,0.0,0.3893129770992366
0.014872768877647774,-0.0010944113646241354,-4.20851972441861,39.75435732194989,57.19893809280739,4.066344341234547e-05,0.002200782844788726,0.33477719645895826,1.0,1.0,0,1.0,1.5142857142857142,1.5142857142857142,0.3125,0.0,0.3893129770992366
0.0052457921724978415,0.0074833082892371205,54.969579940131275,39.75435732194989,57.19893809280739,4.066344341234547e-05,0.002200782844788726,0.33477719645895826,1.0,1.0,0,1.0,1.5142857142857142,1.5142857142857142,0.3125,0.0,0.3893129770992366
0.0029348436803787845,0.00415276046860186,54.75034277913735,39.75435732194989,57.19893809280739,4.066344341234547e-05,0.002200782844788726,0.33477719645895826,1.0,1.0,0,1.0,1.5142857142857142,1.5142857142857142,0.3125,0.0,0.3893129770992366
0.0032598390631288303,0.004365370656949411,53.24947603501494,39.75435732194989,57.19893809280739,4.066344341234547e-05,0.002200782844788726,0.33477719645895826,1.0,1.0,0,1.0,1.5142857142857142,1.5142857142857142,0.3125,0.0,0.3893129770992366
0.0031715886321104165,0.0043314124503320475,53.78730576206207,39.75435732194989,57.19893809280739,4.066344341234547e-05,0.002200782844788726,0.33477719645895826,1.0,1.0,0,1.0,1.5142857142857142,1.5142857142857142,0.3125,0.0,0.3893129770992366
-0.005155965204350043,-0.012022171844108455,-113.2131071962669,39.75435732194989,57.19893809280739,4.066344341234547e-05,0.002200782844788726,0.33477719645895826,1.0,1.0,0,1.0,1.5142857142857142,1.5142857142857142,0.3125,0.0,0.3893129770992366
-0.0047862852703632105,-0.011882900248036695,-111.93896633627615,39.75435732194989,57.19893809280739,4.066344341234547e-05,0.002200782844788726,0.33477719645895826,1.0,1.0,0,1.0,1.5142857142857142,1.5142857142857142,0.3125,0.0,0.3893129770992366
-0.004468587114313241,-0.011845085670233084,-110.66910421493712,39.75435732194989,57.19893809280739,4.066344341234547e-05,0.002200782844788726,0.33477719645895826,1.0,1.0,0,1.0,1.5142857142857142,1.5142857142857142,0.3125,0.0,0.3893129770992366
