x,y,theta
0.0,0.0,0.0
0.0011777486914037033,-0.0015444394981019023,-52.67181528397222
0.0012747299174402568,-0.001552736578619356,-50.615477315794514
0.0017775390858435648,-0.0059447833005885405,-73.35290272393044
-0.02293534306543965,-0.039135338929054485,-120.37251978932767
-0.037423415330994775,-0.04220044927409025,-131.56665495546454
-0.033549471927154045,-0.062320658481039855,-118.29519216100853
-0.027461643929113905,-0.07304026431050493,-110.60523281798302
-0.026128364581520368,-0.06972147483731472,-110.54366050759461
-0.024535310695364257,-0.07367712285124203,-108.41833854712416
-0.022250008726218257,-0.08613560250710914,-104.48368060794371
-0.02439435829887588,-0.07607990277837744,-107.77799570421301
-0.02446427236049226,-0.08113501870008774,-106.77939528110352
-0.02734790360879439,-0.07688098895932062,-109.58135643806243
-0.03225396559051576,-0.07727446531019187,-112.65540681300014
-0.034062748304476254,-0.08602167631914327,-111.6025088828618
-0.03270092162098203,-0.08343022944842367,-111.40296000777039
-0.035366608969466654,-0.0832199480599064,-113.02440211065932
-0.03880780959891121,-0.08600781735081102,-114.28549539563086
-0.03566689013927193,-0.08550111352017298,-112.64351470789121
-0.04002260752265936,-0.0834914454386978,-115.61127835746929
-0.0442184182201761,-0.0916541242868784,-115.75492754072144
-0.04011419643838887,-0.09162694988870902,-113.6437602606817
-0.03998796370764679,-0.08936395246477244,-114.10723117727308
-0.043879425829931394,-0.09828034458214598,-114.05942604957653
-0.04485242041082152,-0.10685652272899168,-112.7699527540848
-0.03871795461823143,-0.10752883262955332,-109.80244939998882
-0.04583016823418919,-0.10984237564348374,-112.64764302330308
-0.037640123991012325,-0.130411414661367,-106.09951467102746
-0.023497242133131865,-0.12004134235151354,-101.07520982749223
-0.027276544230699237,-0.12515721285729878,-102.29469397540403
-0.025136216032992653,-0.13032443291975135,-100.91682268973899
-0.02650521218531231,-0.12864037762620098,-101.64236250999063
-0.025135898044633172,-0.13443834065655375,-100.59030116591904
-0.027025314201413353,-0.17365201471644653,-98.84593114231949
-0.02808060741236864,-0.19707993564579895,-98.10911225842781
0.015544468644264118,-0.1993302024773741,-85.54089868264829
0.020785825036178034,-0.24098432913558307,-85.07021994338321
0.009567947966707131,-0.26877165270143655,-87.9612000263565
0.04021196590782416,-0.2722723963175653,-81.5987074105826
0.06634733486618977,-0.2748211715114844,-76.42736113967936
0.048974538989240264,-0.2667827146595735,-79.59776687133949
0.05233527667890639,-0.2659205142524159,-78.86603059240963
0.060564671704797554,-0.32983026503368573,-79.59504419051402
0.0617246907541584,-0.35415117499516346,-80.11328030175389
0.10945362257472713,-0.3531076637085919,-72.77800763440152
0.1059040267230635,-0.3876181625822898,-74.71874645962606
0.09623387331045734,-0.39989924596736875,-76.46931262738384
0.10876597707442602,-0.39868766884914947,-74.74047039896108
0.10825451569664732,-0.42771344655689075,-75.79667947563917
0.12981018544812603,-0.42395692215467723,-72.9760820522858
0.1324369599198821,-0.4273172105083457,-72.78040193724603
0.14142780746408504,-0.506878893894487,-74.40999619394798
0.1968802048667836,-0.4992091183793488,-68.4765056447824
0.19659977141691923,-0.5101412823955034,-68.92418600759484
0.1674524855352819,-0.5487737613451374,-73.03098815066969
0.17218628696321725,-0.54319075148741,-72.41188152952054
0.17447748280355652,-0.5437013125029239,-72.2082077675813
0.1817422886038485,-0.5640994518658193,-72.1420306469469
