x,y,theta
0.0,0.0,0.0
-0.002176030973043429,0.0018006504869087822,140.39248005948343
-0.003708690186530599,0.00014929646765449972,177.69475452550301
-0.0028324610867429757,0.0013315346675196725,154.82187037186554
-0.005152347144388223,-0.020305868581116163,-104.23757693046909
-0.003207912563586954,-0.023967394241125668,-97.62343790645893
-0.004408711685796687,-0.028914655639771945,-98.66930394427672
-0.007876368424799895,-0.04648404579682873,-99.6169918701554
-0.0053770943705107755,-0.045910319019652715,-96.6801447937903
-0.003791136895217881,-0.05183795467509723,-94.1828446534767
-0.0116490015555489,-0.05811343815113762,-101.33487615351928
-0.011684548662222358,-0.058068362471548264,-101.37716010627304
-0.01126394528321785,-0.05875177671413406,-100.85310350374414
-0.012017695785047612,-0.05853297573601977,-101.60244343764452
-0.015006859500287793,-0.05685521545896259,-104.78592914681289
-0.007770297526878653,-0.05507836860089059,-98.03012940940181
-0.008879919703624914,-0.059783473751374744,-98.44863934308576
-0.009935445295111424,-0.04738171208327318,-101.84273656191448
-0.010228894825146549,-0.04234740287574717,-103.5795215413524
0.0014667145199371639,-0.05473427488269733,-88.46501217721591
0.007589854028066191,-0.04830036211188064,-81.06964475868944
0.007286809350999709,-0.030131804693917748,-76.40510428897029
0.016384567995632916,-0.05288261416427151,-72.7855022961541
0.0131716372171161,-0.07004121586123732,-79.34959989419735
0.019296291951399154,-0.07414702874662749,-75.41270945700961
0.059904259858882196,-0.10794174244090783,-60.97110799239811
0.0657837323936089,-0.13127806607581916,-63.38444834382602
0.06974499823101112,-0.13123606580102606,-62.01172864913775
0.1523792430184685,-0.14957890148270342,-44.468657644997826
0.1904006355922243,-0.14254657288972017,-36.820966949930565
0.2580819973925343,-0.1325270549697903,-27.180840838802308
0.3469765547835005,-0.08320041934722427,-13.4841859246873
0.40237980293017006,-0.04046921036059281,-5.743190663100019
0.4879340717928003,0.02965874617308504,3.478405915745461
0.5509669602732069,0.08481215394670312,8.75103900063919
0.6101242116042717,0.13885325617709776,12.821111755294146
0.6617047883666518,0.17633694402745306,14.921904675384159
0.6985224388944348,0.19196989839356,15.366812280611429
0.7241169532231584,0.20881590653006463,16.086142424975307
0.7453466768832973,0.19846247717911988,14.910126101694967
0.7700138750602706,0.22618507490999396,16.369705600371514
0.7685536459405634,0.23840289932509234,17.23372403261332
0.7636382911544373,0.23433753642525462,17.059669046333475
0.7809662526344383,0.25352159320877654,17.984754291473674
0.7790374512931316,0.2638674675077025,18.71173415941056
0.7680794761712088,0.25644340927009623,18.462934644269232
0.7672192312654234,0.26994665900079445,19.384459307551296
0.7560666773440556,0.276386778172198,20.080326666519156
0.7450796437838406,0.25194049297334664,18.68240101107909
0.7489026848164543,0.25138989254387784,18.55575113663113
0.7383525551304885,0.2555692853061444,19.092501649448124
0.7028674225087645,0.22888311631931035,18.037422377480475
0.6980147805197738,0.22276423254914923,17.6999478776112
0.700070955204248,0.21894204478550272,17.366689606691526
0.6979333834821685,0.1901458951968553,15.239868204736933
0.7102047265892044,0.1949444770248133,15.349109949158864
0.7219942378998383,0.19302578368696904,14.968009990616858
0.7372703832684103,0.1486518424980186,11.39940679563105
0.7458235675406946,0.14079684650197163,10.69050695284913
0.7578590219025162,0.14488388391240883,10.822943461057966
0.761962514825944,0.1311473687674735,9.765940808625563
0.7712033078859202,0.12829080437437712,9.444749996343168
0.794339491427693,0.13812010835398747,9.863994298363767
0.7911368475240509,0.13706829588201236,9.829198307317583
0.7987307493245762,0.13319316830891195,9.467303861437355
0.8178934912487198,0.14888149497804373,10.316617198916935
0.8179472746627612,0.14851292521367845,10.290961681300553
0.8188157361280799,0.14263866610808262,9.881830411634375
0.8251529907691566,0.1525930856665319,10.477175156435283
0.827559748864556,0.14274317845981963,9.786472277038591
0.8129728585748303,0.12432847160132807,8.694913808415873
0.7781430144556997,0.15956284489763686,11.58820188517868
